key,moment,title,author,body,email
chirp-01,2022/03/18 10:15,Good morning!,Peter McKenzie,The rain is going to dominate the sky of the city this whole week,weather@gmail.com
chirp-02,2022/03/19 16:00,Example Chirp 02,Jesús Roldán,Sample Chirp,null
chirp-03,2022/02/25 18:00,Example Chirp 03,Pablo Gutiérrez,Sample Chirp,examplemail@gmail.com
chirp-04,2022/01/16 15:00,Example Chirp 04,Alejandro Baños,Sample Chirp,examplemail@gmail.com
chirp-05,2022/01/04 12:00,Example Chirp 05,Julia Ibañez,Sample Chirp,null
chirp-06,2021/10/19 11:00,Example Chirp 06,Javier Grosso,Sample Chirp,examplemail@gmail.com
chirp-07,2022/04/01 09:15,Example Chirp 07,Román Flores,Sample Chirp,examplemail@gmail.com
chirp-08,2021/11/23 12:30,Example Chirp 08,FC Barça,Sample Chirp,null
chirp-09,2021/03/25 23:00,Example Chirp 09,Kylian Mbappé,Sample Chirp,examplemail@gmail.com
chirp-10,2022/03/20 21:30,Example Chirp 10,Leo Messi,Sample Chirp,null
