key,enabled,identity,password,username
user-account-inventor-01,true,"UserIdentity{name: 'Peter', surname: 'Parker', email: 'imnotspiderman@acme.com'}",inventor1,inventor1
user-account-inventor-02,true,"UserIdentity{name: 'Michael', surname: 'Jordan', email: 'michaelj23@acme.com'}",inventor2,inventor2
user-account-inventor-03,true,"UserIdentity{name: 'Matt', surname: 'Smith', email: 'mattsmith@acme.com'}",inventor3,inventor3
user-account-inventor-04,true,"UserIdentity{name: 'Joe', surname: 'Brown', email: 'jbrown@acme.com'}",inventor4,inventor4
user-account-inventor-05,false,"UserIdentity{name: 'Jessica', surname: 'Johnson', email: 'jessjohnson@acme.com'}",inventor5,inventor5
user-account-patron-01,true,"UserIdentity{name: 'Bugs', surname: 'Bunny', email: 'whatsupfolks@acme.com'}",patron1,patron1
user-account-patron-02,true,"UserIdentity{name: 'Sandra', surname: 'Bullock', email: 'interstellar@acme.com'}",patron2,patron2
user-account-patron-03,false,"UserIdentity{name: 'Sam', surname: 'Wilson', email: 'wilsonsam@acme.com'}",patron3,patron3
user-account-patron-04,true,"UserIdentity{name: 'Bruce', surname: 'Davies', email: 'brucedavies@acme.com'}",patron4,patron4
user-account-patron-05,true,"UserIdentity{name: 'Carla', surname: 'Williams', email: 'carlawilliams@acme.com'}",patron5,patron5
